complaint_text,complainant,accused
Journalists Association of Delhi filed a report against Block Development Officer citing threats and intimidation.,Journalists Association of Delhi,Block Development Officer
Mr. Arvind Yadav lodged a complaint against Local MLA with the authorities.,Mr. Arvind Yadav,Local MLA
"According to National Human Rights Commission, Traffic Police Officer obstructed journalistic activities.",National Human Rights Commission,Traffic Police Officer
Advocate Rakesh Kumar raised concerns regarding behaviour of District Magistrate.,Advocate Rakesh Kumar,District Magistrate
A complaint has been registered by Editor of The Daily News against State Education Minister for misconduct.,Editor of The Daily News,State Education Minister
Suo-Motu cognizance with regard to an incident involving Inspector General and Shri Rajesh Jain.,Shri Rajesh Jain,Inspector General
Journalists Association of Delhi filed a report against Block Development Officer citing threats and intimidation.,Journalists Association of Delhi,Block Development Officer
Suo-Motu cognizance with regard to an incident involving Inspector General and Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Inspector General
Formal complaint by Smt. Sunita Gupta accusing Tehsildar of corruption.,Smt. Sunita Gupta,Tehsildar
Suo-Motu cognizance in the case of Tehsildar allegedly threatening Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Tehsildar
Media Council of India raised concerns regarding behaviour of Government Official.,Media Council of India,Government Official
Formal complaint by National Human Rights Commission accusing Traffic Police Officer of corruption.,National Human Rights Commission,Traffic Police Officer
"According to Press Club of India, Political Party Worker obstructed journalistic activities.",Press Club of India,Political Party Worker
Ms. Priya Sharma filed a report against Ranchi SP citing threats and intimidation.,Ms. Priya Sharma,Ranchi SP
Press Club of India has accused Rajkot Collector of unlawful conduct.,Press Club of India,Rajkot Collector
Shri Aman Verma has accused Traffic Police Officer of unlawful conduct.,Shri Aman Verma,Traffic Police Officer
A complaint has been registered by Smt. Sunita Gupta against Inspector General for misconduct.,Smt. Sunita Gupta,Inspector General
Suo-Motu cognizance with regard to Tehsildar allegedly attacking Media Council of India.,Media Council of India,Tehsildar
"According to Smt. Sunita Gupta, State Education Minister obstructed journalistic activities.",Smt. Sunita Gupta,State Education Minister
Smt. Rekha Singh raised concerns regarding behaviour of Government Official.,Smt. Rekha Singh,Government Official
"According to Press Club of India, Local MLA obstructed journalistic activities.",Press Club of India,Local MLA
Mr. Arvind Yadav filed a report against Zonal Commissioner citing threats and intimidation.,Mr. Arvind Yadav,Zonal Commissioner
Ms. Neha Dubey filed a report against Zonal Commissioner citing threats and intimidation.,Ms. Neha Dubey,Zonal Commissioner
Suo-Motu cognizance with regard to Police Constable allegedly bribing Mr. Rahul Tiwari for media coverage.,Mr. Rahul Tiwari,Police Constable
Complaint submitted by Smt. Rekha Singh alleging harassment by Local MLA.,Smt. Rekha Singh,Local MLA
Shri Rajesh Jain has accused Zonal Commissioner of unlawful conduct.,Shri Rajesh Jain,Zonal Commissioner
Editor of The Daily News raised concerns regarding behaviour of Ranchi SP.,Editor of The Daily News,Ranchi SP
Complaint submitted by Editor of The Daily News alleging harassment by Traffic Police Officer.,Editor of The Daily News,Traffic Police Officer
Suo-Motu cognizance of unlawful detention of Mr. Rahul Tiwari by Government Official.,Mr. Rahul Tiwari,Government Official
Complaint filed by Shri Rajesh Jain against Traffic Police Officer for abuse of power.,Shri Rajesh Jain,Traffic Police Officer
National Human Rights Commission has accused District Magistrate of unlawful conduct.,National Human Rights Commission,District Magistrate
Complaint filed by National Human Rights Commission against Media House Owner for abuse of power.,National Human Rights Commission,Media House Owner
"According to Shri Rajesh Jain, Zonal Commissioner obstructed journalistic activities.",Shri Rajesh Jain,Zonal Commissioner
Formal complaint by Smt. Rekha Singh accusing Local MLA of corruption.,Smt. Rekha Singh,Local MLA
A complaint has been registered by Editor of The Daily News against State Education Minister for misconduct.,Editor of The Daily News,State Education Minister
Complaint submitted by Media Council of India alleging harassment by District Magistrate.,Media Council of India,District Magistrate
Media Council of India has accused Media House Owner of unlawful conduct.,Media Council of India,Media House Owner
"According to Shri Aman Verma, Delhi Police obstructed journalistic activities.",Shri Aman Verma,Delhi Police
Smt. Sunita Gupta lodged a complaint against Traffic Police Officer with the authorities.,Smt. Sunita Gupta,Traffic Police Officer
Formal complaint by Editor of The Daily News accusing District Magistrate of corruption.,Editor of The Daily News,District Magistrate
Complaint submitted by Smt. Rekha Singh alleging harassment by Rajkot Collector.,Smt. Rekha Singh,Rajkot Collector
Ms. Neha Dubey raised concerns regarding behaviour of Government Official.,Ms. Neha Dubey,Government Official
Formal complaint by Advocate Rakesh Kumar accusing Local MLA of corruption.,Advocate Rakesh Kumar,Local MLA
Press Club of India has accused Rajkot Collector of unlawful conduct.,Press Club of India,Rajkot Collector
Formal complaint by National Human Rights Commission accusing Government Official of corruption.,National Human Rights Commission,Government Official
A complaint has been registered by Ms. Neha Dubey against Inspector General for misconduct.,Ms. Neha Dubey,Inspector General
Ms. Priya Sharma filed a report against Delhi Police citing threats and intimidation.,Ms. Priya Sharma,Delhi Police
Complaint filed by Journalists Association of Delhi against Zonal Commissioner for abuse of power.,Journalists Association of Delhi,Zonal Commissioner
A complaint has been registered by Journalists Association of Delhi against Block Development Officer for misconduct.,Journalists Association of Delhi,Block Development Officer
Shri Aman Verma lodged a complaint against Media House Owner with the authorities.,Shri Aman Verma,Media House Owner
Suo-Motu cognizance in the case of Inspector General allegedly threatening Ms. Priya Sharma.,Ms. Priya Sharma,Inspector General
Suo-Motu cognizance with regard to Zonal Commissioner allegedly bribing Ms. Priya Sharma for media coverage.,Ms. Priya Sharma,Zonal Commissioner
Media Council of India has accused Police Constable of unlawful conduct.,Media Council of India,Police Constable
Complaint filed by Journalists Association of Delhi against Traffic Police Officer for abuse of power.,Journalists Association of Delhi,Traffic Police Officer
Complaint submitted by Press Club of India alleging harassment by Government Official.,Press Club of India,Government Official
Suo-Motu cognizance with regard to Police Constable allegedly attacking Shri Rajesh Jain.,Shri Rajesh Jain,Police Constable
Complaint filed by Journalists Association of Delhi against Traffic Police Officer for abuse of power.,Journalists Association of Delhi,Traffic Police Officer
Journalists Association of Delhi filed a report against Delhi Police citing threats and intimidation.,Journalists Association of Delhi,Delhi Police
Complaint submitted by Editor of The Daily News alleging harassment by Ranchi SP.,Editor of The Daily News,Ranchi SP
Media Council of India raised concerns regarding behaviour of State Education Minister.,Media Council of India,State Education Minister
A complaint has been registered by Press Club of India against Inspector General for misconduct.,Press Club of India,Inspector General
"According to Smt. Sunita Gupta, District Magistrate obstructed journalistic activities.",Smt. Sunita Gupta,District Magistrate
Complaint filed by Mr. Arvind Yadav against Delhi Police for abuse of power.,Mr. Arvind Yadav,Delhi Police
A complaint has been registered by Media Council of India against Rajkot Collector for misconduct.,Media Council of India,Rajkot Collector
National Human Rights Commission filed a report against Rajkot Collector citing threats and intimidation.,National Human Rights Commission,Rajkot Collector
Press Club of India raised concerns regarding behaviour of Media House Owner.,Press Club of India,Media House Owner
Smt. Sunita Gupta filed a report against Zonal Commissioner citing threats and intimidation.,Smt. Sunita Gupta,Zonal Commissioner
Suo-Motu cognizance of unlawful detention of National Human Rights Commission by Traffic Police Officer.,National Human Rights Commission,Traffic Police Officer
"According to Ms. Priya Sharma, Delhi Police obstructed journalistic activities.",Ms. Priya Sharma,Delhi Police
Suo-Motu cognizance regarding misconduct by Local MLA involving Shri Aman Verma.,Shri Aman Verma,Local MLA
Suo-Motu cognizance with regard to Delhi Police allegedly harassing Smt. Sunita Gupta during coverage of an event.,Smt. Sunita Gupta,Delhi Police
"According to Ms. Neha Dubey, District Magistrate obstructed journalistic activities.",Ms. Neha Dubey,District Magistrate
Complaint submitted by Mr. Arvind Yadav alleging harassment by Block Development Officer.,Mr. Arvind Yadav,Block Development Officer
Shri Rajesh Jain has accused Inspector General of unlawful conduct.,Shri Rajesh Jain,Inspector General
"According to Advocate Rakesh Kumar, District Magistrate obstructed journalistic activities.",Advocate Rakesh Kumar,District Magistrate
Shri Rajesh Jain lodged a complaint against Rajkot Collector with the authorities.,Shri Rajesh Jain,Rajkot Collector
Advocate Rakesh Kumar raised concerns regarding behaviour of Rajkot Collector.,Advocate Rakesh Kumar,Rajkot Collector
Formal complaint by Smt. Sunita Gupta accusing Political Party Worker of corruption.,Smt. Sunita Gupta,Political Party Worker
Suo-Motu cognizance with regard to Tehsildar allegedly attacking Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Tehsildar
"According to Mr. Arvind Yadav, Rajkot Collector obstructed journalistic activities.",Mr. Arvind Yadav,Rajkot Collector
Journalists Association of Delhi filed a report against Media House Owner citing threats and intimidation.,Journalists Association of Delhi,Media House Owner
Suo-Motu cognizance of unlawful detention of Editor of The Daily News by Government Official.,Editor of The Daily News,Government Official
Mr. Arvind Yadav has accused Block Development Officer of unlawful conduct.,Mr. Arvind Yadav,Block Development Officer
Ms. Neha Dubey has accused Political Party Worker of unlawful conduct.,Ms. Neha Dubey,Political Party Worker
Shri Rajesh Jain lodged a complaint against Zonal Commissioner with the authorities.,Shri Rajesh Jain,Zonal Commissioner
"According to Mr. Arvind Yadav, Zonal Commissioner obstructed journalistic activities.",Mr. Arvind Yadav,Zonal Commissioner
Ms. Priya Sharma raised concerns regarding behaviour of Rajkot Collector.,Ms. Priya Sharma,Rajkot Collector
Shri Rajesh Jain filed a report against Political Party Worker citing threats and intimidation.,Shri Rajesh Jain,Political Party Worker
Suo-Motu cognizance with regard to State Education Minister allegedly harassing Journalists Association of Delhi during coverage of an event.,Journalists Association of Delhi,State Education Minister
Suo-Motu cognizance with regard to Ranchi SP allegedly bribing Mr. Arvind Yadav for media coverage.,Mr. Arvind Yadav,Ranchi SP
Ms. Neha Dubey raised concerns regarding behaviour of Media House Owner.,Ms. Neha Dubey,Media House Owner
Shri Aman Verma has accused Media House Owner of unlawful conduct.,Shri Aman Verma,Media House Owner
Complaint submitted by Shri Aman Verma alleging harassment by Traffic Police Officer.,Shri Aman Verma,Traffic Police Officer
Journalists Association of Delhi raised concerns regarding behaviour of Local MLA.,Journalists Association of Delhi,Local MLA
Suo-Motu cognizance with regard to an incident involving Block Development Officer and Mr. Arvind Yadav.,Mr. Arvind Yadav,Block Development Officer
Suo-Motu cognizance with regard to Tehsildar allegedly bribing Ms. Neha Dubey for media coverage.,Ms. Neha Dubey,Tehsildar
Smt. Sunita Gupta filed a report against Local MLA citing threats and intimidation.,Smt. Sunita Gupta,Local MLA
Ms. Neha Dubey has accused Rajkot Collector of unlawful conduct.,Ms. Neha Dubey,Rajkot Collector
Formal complaint by Shri Rajesh Jain accusing Local MLA of corruption.,Shri Rajesh Jain,Local MLA
Editor of The Daily News has accused Delhi Police of unlawful conduct.,Editor of The Daily News,Delhi Police
Suo-Motu cognizance with regard to an incident involving Inspector General and Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Inspector General
Suo-Motu cognizance with regard to Political Party Worker allegedly harassing Press Club of India during coverage of an event.,Press Club of India,Political Party Worker
Suo-Motu cognizance with regard to Zonal Commissioner allegedly harassing Journalists Association of Delhi during coverage of an event.,Journalists Association of Delhi,Zonal Commissioner
Complaint submitted by Press Club of India alleging harassment by Local MLA.,Press Club of India,Local MLA
Mr. Rahul Tiwari lodged a complaint against Delhi Police with the authorities.,Mr. Rahul Tiwari,Delhi Police
A complaint has been registered by Smt. Rekha Singh against Media House Owner for misconduct.,Smt. Rekha Singh,Media House Owner
Complaint submitted by Mr. Arvind Yadav alleging harassment by Tehsildar.,Mr. Arvind Yadav,Tehsildar
Suo-Motu cognizance with regard to Police Constable allegedly bribing Mr. Rahul Tiwari for media coverage.,Mr. Rahul Tiwari,Police Constable
Formal complaint by Editor of The Daily News accusing Political Party Worker of corruption.,Editor of The Daily News,Political Party Worker
National Human Rights Commission lodged a complaint against Local MLA with the authorities.,National Human Rights Commission,Local MLA
Suo-Motu cognizance regarding misconduct by Block Development Officer involving Ms. Neha Dubey.,Ms. Neha Dubey,Block Development Officer
Formal complaint by Mr. Rahul Tiwari accusing Ranchi SP of corruption.,Mr. Rahul Tiwari,Ranchi SP
Suo-Motu cognizance with regard to an incident involving Zonal Commissioner and Mr. Arvind Yadav.,Mr. Arvind Yadav,Zonal Commissioner
Shri Aman Verma lodged a complaint against Block Development Officer with the authorities.,Shri Aman Verma,Block Development Officer
"According to Ms. Priya Sharma, Police Constable obstructed journalistic activities.",Ms. Priya Sharma,Police Constable
Advocate Rakesh Kumar has accused Zonal Commissioner of unlawful conduct.,Advocate Rakesh Kumar,Zonal Commissioner
"According to Ms. Priya Sharma, Rajkot Collector obstructed journalistic activities.",Ms. Priya Sharma,Rajkot Collector
Complaint filed by Smt. Rekha Singh against State Education Minister for abuse of power.,Smt. Rekha Singh,State Education Minister
National Human Rights Commission has accused Political Party Worker of unlawful conduct.,National Human Rights Commission,Political Party Worker
Complaint filed by Media Council of India against Police Constable for abuse of power.,Media Council of India,Police Constable
Complaint filed by Smt. Rekha Singh against Rajkot Collector for abuse of power.,Smt. Rekha Singh,Rajkot Collector
A complaint has been registered by Media Council of India against Rajkot Collector for misconduct.,Media Council of India,Rajkot Collector
Shri Rajesh Jain has accused District Magistrate of unlawful conduct.,Shri Rajesh Jain,District Magistrate
"According to Journalists Association of Delhi, Zonal Commissioner obstructed journalistic activities.",Journalists Association of Delhi,Zonal Commissioner
Advocate Rakesh Kumar lodged a complaint against Tehsildar with the authorities.,Advocate Rakesh Kumar,Tehsildar
Suo-Motu cognizance with regard to Zonal Commissioner allegedly bribing Ms. Neha Dubey for media coverage.,Ms. Neha Dubey,Zonal Commissioner
Complaint submitted by Journalists Association of Delhi alleging harassment by Zonal Commissioner.,Journalists Association of Delhi,Zonal Commissioner
Editor of The Daily News has accused Block Development Officer of unlawful conduct.,Editor of The Daily News,Block Development Officer
Mr. Rahul Tiwari raised concerns regarding behaviour of Tehsildar.,Mr. Rahul Tiwari,Tehsildar
Complaint filed by Shri Aman Verma against State Education Minister for abuse of power.,Shri Aman Verma,State Education Minister
Suo-Motu cognizance with regard to Police Constable allegedly bribing Journalists Association of Delhi for media coverage.,Journalists Association of Delhi,Police Constable
Complaint submitted by Journalists Association of Delhi alleging harassment by Delhi Police.,Journalists Association of Delhi,Delhi Police
Complaint submitted by Journalists Association of Delhi alleging harassment by Media House Owner.,Journalists Association of Delhi,Media House Owner
Advocate Rakesh Kumar has accused State Education Minister of unlawful conduct.,Advocate Rakesh Kumar,State Education Minister
Mr. Arvind Yadav raised concerns regarding behaviour of Traffic Police Officer.,Mr. Arvind Yadav,Traffic Police Officer
Complaint submitted by Shri Aman Verma alleging harassment by Local MLA.,Shri Aman Verma,Local MLA
Suo-Motu cognizance with regard to Ranchi SP allegedly bribing Ms. Neha Dubey for media coverage.,Ms. Neha Dubey,Ranchi SP
Suo-Motu cognizance with regard to an incident involving Local MLA and Shri Rajesh Jain.,Shri Rajesh Jain,Local MLA
A complaint has been registered by Mr. Rahul Tiwari against Traffic Police Officer for misconduct.,Mr. Rahul Tiwari,Traffic Police Officer
Complaint submitted by Press Club of India alleging harassment by Zonal Commissioner.,Press Club of India,Zonal Commissioner
Shri Rajesh Jain lodged a complaint against Rajkot Collector with the authorities.,Shri Rajesh Jain,Rajkot Collector
A complaint has been registered by Shri Rajesh Jain against Rajkot Collector for misconduct.,Shri Rajesh Jain,Rajkot Collector
Ms. Priya Sharma has accused Police Constable of unlawful conduct.,Ms. Priya Sharma,Police Constable
Suo-Motu cognizance regarding misconduct by Ranchi SP involving Shri Aman Verma.,Shri Aman Verma,Ranchi SP
A complaint has been registered by Media Council of India against Block Development Officer for misconduct.,Media Council of India,Block Development Officer
"According to Ms. Priya Sharma, Inspector General obstructed journalistic activities.",Ms. Priya Sharma,Inspector General
A complaint has been registered by Smt. Rekha Singh against Ranchi SP for misconduct.,Smt. Rekha Singh,Ranchi SP
Press Club of India lodged a complaint against Ranchi SP with the authorities.,Press Club of India,Ranchi SP
A complaint has been registered by Mr. Rahul Tiwari against Zonal Commissioner for misconduct.,Mr. Rahul Tiwari,Zonal Commissioner
"According to Ms. Priya Sharma, Ranchi SP obstructed journalistic activities.",Ms. Priya Sharma,Ranchi SP
Media Council of India raised concerns regarding behaviour of Ranchi SP.,Media Council of India,Ranchi SP
Smt. Rekha Singh filed a report against Government Official citing threats and intimidation.,Smt. Rekha Singh,Government Official
Suo-Motu cognizance of unlawful detention of Shri Rajesh Jain by Local MLA.,Shri Rajesh Jain,Local MLA
Ms. Priya Sharma has accused Local MLA of unlawful conduct.,Ms. Priya Sharma,Local MLA
Suo-Motu cognizance with regard to Media House Owner allegedly harassing Smt. Rekha Singh during coverage of an event.,Smt. Rekha Singh,Media House Owner
Suo-Motu cognizance with regard to Inspector General allegedly bribing Media Council of India for media coverage.,Media Council of India,Inspector General
Complaint submitted by National Human Rights Commission alleging harassment by State Education Minister.,National Human Rights Commission,State Education Minister
Complaint filed by National Human Rights Commission against Government Official for abuse of power.,National Human Rights Commission,Government Official
Complaint submitted by Journalists Association of Delhi alleging harassment by Media House Owner.,Journalists Association of Delhi,Media House Owner
Journalists Association of Delhi filed a report against Media House Owner citing threats and intimidation.,Journalists Association of Delhi,Media House Owner
Complaint filed by Shri Rajesh Jain against Zonal Commissioner for abuse of power.,Shri Rajesh Jain,Zonal Commissioner
A complaint has been registered by Shri Aman Verma against Media House Owner for misconduct.,Shri Aman Verma,Media House Owner
Ms. Neha Dubey has accused Media House Owner of unlawful conduct.,Ms. Neha Dubey,Media House Owner
Smt. Rekha Singh lodged a complaint against Traffic Police Officer with the authorities.,Smt. Rekha Singh,Traffic Police Officer
Smt. Rekha Singh has accused Government Official of unlawful conduct.,Smt. Rekha Singh,Government Official
Complaint submitted by Mr. Rahul Tiwari alleging harassment by Local MLA.,Mr. Rahul Tiwari,Local MLA
"According to Mr. Arvind Yadav, Media House Owner obstructed journalistic activities.",Mr. Arvind Yadav,Media House Owner
Complaint submitted by Ms. Priya Sharma alleging harassment by Political Party Worker.,Ms. Priya Sharma,Political Party Worker
"According to Ms. Neha Dubey, Local MLA obstructed journalistic activities.",Ms. Neha Dubey,Local MLA
Shri Aman Verma lodged a complaint against State Education Minister with the authorities.,Shri Aman Verma,State Education Minister
Editor of The Daily News filed a report against Ranchi SP citing threats and intimidation.,Editor of The Daily News,Ranchi SP
Shri Rajesh Jain lodged a complaint against Zonal Commissioner with the authorities.,Shri Rajesh Jain,Zonal Commissioner
"According to Shri Aman Verma, Block Development Officer obstructed journalistic activities.",Shri Aman Verma,Block Development Officer
"According to Editor of The Daily News, Zonal Commissioner obstructed journalistic activities.",Editor of The Daily News,Zonal Commissioner
Complaint filed by Mr. Rahul Tiwari against Inspector General for abuse of power.,Mr. Rahul Tiwari,Inspector General
A complaint has been registered by Mr. Arvind Yadav against State Education Minister for misconduct.,Mr. Arvind Yadav,State Education Minister
Complaint submitted by Smt. Rekha Singh alleging harassment by State Education Minister.,Smt. Rekha Singh,State Education Minister
Complaint filed by Shri Aman Verma against Zonal Commissioner for abuse of power.,Shri Aman Verma,Zonal Commissioner
Complaint submitted by Shri Aman Verma alleging harassment by Political Party Worker.,Shri Aman Verma,Political Party Worker
Suo-Motu cognizance with regard to Local MLA allegedly harassing National Human Rights Commission during coverage of an event.,National Human Rights Commission,Local MLA
Suo-Motu cognizance of unlawful detention of Advocate Rakesh Kumar by Political Party Worker.,Advocate Rakesh Kumar,Political Party Worker
"According to National Human Rights Commission, District Magistrate obstructed journalistic activities.",National Human Rights Commission,District Magistrate
Smt. Sunita Gupta raised concerns regarding behaviour of Political Party Worker.,Smt. Sunita Gupta,Political Party Worker
Complaint filed by Shri Rajesh Jain against District Magistrate for abuse of power.,Shri Rajesh Jain,District Magistrate
Advocate Rakesh Kumar raised concerns regarding behaviour of Government Official.,Advocate Rakesh Kumar,Government Official
Complaint filed by Smt. Rekha Singh against Inspector General for abuse of power.,Smt. Rekha Singh,Inspector General
Advocate Rakesh Kumar filed a report against Police Constable citing threats and intimidation.,Advocate Rakesh Kumar,Police Constable
Media Council of India filed a report against Zonal Commissioner citing threats and intimidation.,Media Council of India,Zonal Commissioner
Journalists Association of Delhi raised concerns regarding behaviour of Delhi Police.,Journalists Association of Delhi,Delhi Police
"According to Editor of The Daily News, Ranchi SP obstructed journalistic activities.",Editor of The Daily News,Ranchi SP
Smt. Rekha Singh has accused Inspector General of unlawful conduct.,Smt. Rekha Singh,Inspector General
Journalists Association of Delhi has accused Block Development Officer of unlawful conduct.,Journalists Association of Delhi,Block Development Officer
"According to Mr. Rahul Tiwari, Political Party Worker obstructed journalistic activities.",Mr. Rahul Tiwari,Political Party Worker
Mr. Arvind Yadav has accused District Magistrate of unlawful conduct.,Mr. Arvind Yadav,District Magistrate
Journalists Association of Delhi has accused State Education Minister of unlawful conduct.,Journalists Association of Delhi,State Education Minister
Editor of The Daily News has accused Government Official of unlawful conduct.,Editor of The Daily News,Government Official
Complaint submitted by National Human Rights Commission alleging harassment by State Education Minister.,National Human Rights Commission,State Education Minister
Complaint filed by National Human Rights Commission against Tehsildar for abuse of power.,National Human Rights Commission,Tehsildar
Editor of The Daily News lodged a complaint against Delhi Police with the authorities.,Editor of The Daily News,Delhi Police
Media Council of India raised concerns regarding behaviour of Rajkot Collector.,Media Council of India,Rajkot Collector
Formal complaint by Mr. Arvind Yadav accusing Media House Owner of corruption.,Mr. Arvind Yadav,Media House Owner
A complaint has been registered by Editor of The Daily News against Traffic Police Officer for misconduct.,Editor of The Daily News,Traffic Police Officer
Complaint submitted by Press Club of India alleging harassment by Traffic Police Officer.,Press Club of India,Traffic Police Officer
Mr. Arvind Yadav has accused State Education Minister of unlawful conduct.,Mr. Arvind Yadav,State Education Minister
"According to Editor of The Daily News, Political Party Worker obstructed journalistic activities.",Editor of The Daily News,Political Party Worker
Suo-Motu cognizance of unlawful detention of Smt. Sunita Gupta by Media House Owner.,Smt. Sunita Gupta,Media House Owner
Formal complaint by Journalists Association of Delhi accusing State Education Minister of corruption.,Journalists Association of Delhi,State Education Minister
Shri Aman Verma has accused Media House Owner of unlawful conduct.,Shri Aman Verma,Media House Owner
National Human Rights Commission has accused Government Official of unlawful conduct.,National Human Rights Commission,Government Official
A complaint has been registered by Smt. Rekha Singh against Delhi Police for misconduct.,Smt. Rekha Singh,Delhi Police
Shri Aman Verma filed a report against Government Official citing threats and intimidation.,Shri Aman Verma,Government Official
Editor of The Daily News filed a report against Ranchi SP citing threats and intimidation.,Editor of The Daily News,Ranchi SP
Suo-Motu cognizance regarding misconduct by Delhi Police involving Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Delhi Police
Complaint submitted by Journalists Association of Delhi alleging harassment by District Magistrate.,Journalists Association of Delhi,District Magistrate
Formal complaint by Mr. Arvind Yadav accusing District Magistrate of corruption.,Mr. Arvind Yadav,District Magistrate
Press Club of India lodged a complaint against State Education Minister with the authorities.,Press Club of India,State Education Minister
Suo-Motu cognizance with regard to Government Official allegedly attacking Smt. Sunita Gupta.,Smt. Sunita Gupta,Government Official
Mr. Arvind Yadav has accused Media House Owner of unlawful conduct.,Mr. Arvind Yadav,Media House Owner
Formal complaint by Smt. Rekha Singh accusing Local MLA of corruption.,Smt. Rekha Singh,Local MLA
Media Council of India lodged a complaint against Traffic Police Officer with the authorities.,Media Council of India,Traffic Police Officer
Smt. Rekha Singh lodged a complaint against Police Constable with the authorities.,Smt. Rekha Singh,Police Constable
Complaint filed by Ms. Priya Sharma against Inspector General for abuse of power.,Ms. Priya Sharma,Inspector General
A complaint has been registered by Mr. Rahul Tiwari against Zonal Commissioner for misconduct.,Mr. Rahul Tiwari,Zonal Commissioner
A complaint has been registered by Smt. Sunita Gupta against Delhi Police for misconduct.,Smt. Sunita Gupta,Delhi Police
Smt. Sunita Gupta has accused Tehsildar of unlawful conduct.,Smt. Sunita Gupta,Tehsildar
"According to Journalists Association of Delhi, Zonal Commissioner obstructed journalistic activities.",Journalists Association of Delhi,Zonal Commissioner
A complaint has been registered by Mr. Rahul Tiwari against Media House Owner for misconduct.,Mr. Rahul Tiwari,Media House Owner
Suo-Motu cognizance with regard to Delhi Police allegedly attacking Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Delhi Police
Formal complaint by Smt. Rekha Singh accusing Tehsildar of corruption.,Smt. Rekha Singh,Tehsildar
Journalists Association of Delhi has accused Traffic Police Officer of unlawful conduct.,Journalists Association of Delhi,Traffic Police Officer
Shri Aman Verma filed a report against Political Party Worker citing threats and intimidation.,Shri Aman Verma,Political Party Worker
Shri Aman Verma lodged a complaint against Traffic Police Officer with the authorities.,Shri Aman Verma,Traffic Police Officer
"According to Ms. Neha Dubey, Delhi Police obstructed journalistic activities.",Ms. Neha Dubey,Delhi Police
Complaint submitted by Editor of The Daily News alleging harassment by Media House Owner.,Editor of The Daily News,Media House Owner
Complaint submitted by National Human Rights Commission alleging harassment by Inspector General.,National Human Rights Commission,Inspector General
Advocate Rakesh Kumar lodged a complaint against Media House Owner with the authorities.,Advocate Rakesh Kumar,Media House Owner
Complaint filed by Press Club of India against Police Constable for abuse of power.,Press Club of India,Police Constable
Suo-Motu cognizance with regard to Inspector General allegedly attacking Press Club of India.,Press Club of India,Inspector General
Complaint filed by Mr. Arvind Yadav against Tehsildar for abuse of power.,Mr. Arvind Yadav,Tehsildar
Suo-Motu cognizance in the case of District Magistrate allegedly threatening Ms. Priya Sharma.,Ms. Priya Sharma,District Magistrate
Formal complaint by Smt. Rekha Singh accusing State Education Minister of corruption.,Smt. Rekha Singh,State Education Minister
National Human Rights Commission lodged a complaint against Block Development Officer with the authorities.,National Human Rights Commission,Block Development Officer
Suo-Motu cognizance regarding misconduct by Ranchi SP involving Shri Aman Verma.,Shri Aman Verma,Ranchi SP
Complaint filed by Media Council of India against Rajkot Collector for abuse of power.,Media Council of India,Rajkot Collector
Smt. Sunita Gupta filed a report against Local MLA citing threats and intimidation.,Smt. Sunita Gupta,Local MLA
Journalists Association of Delhi has accused Local MLA of unlawful conduct.,Journalists Association of Delhi,Local MLA
Complaint filed by Shri Aman Verma against Zonal Commissioner for abuse of power.,Shri Aman Verma,Zonal Commissioner
"According to Shri Rajesh Jain, Block Development Officer obstructed journalistic activities.",Shri Rajesh Jain,Block Development Officer
"According to Journalists Association of Delhi, Inspector General obstructed journalistic activities.",Journalists Association of Delhi,Inspector General
Formal complaint by Editor of The Daily News accusing Police Constable of corruption.,Editor of The Daily News,Police Constable
Ms. Priya Sharma lodged a complaint against Police Constable with the authorities.,Ms. Priya Sharma,Police Constable
Complaint filed by Press Club of India against Local MLA for abuse of power.,Press Club of India,Local MLA
National Human Rights Commission lodged a complaint against Ranchi SP with the authorities.,National Human Rights Commission,Ranchi SP
Ms. Priya Sharma has accused Inspector General of unlawful conduct.,Ms. Priya Sharma,Inspector General
Editor of The Daily News raised concerns regarding behaviour of Rajkot Collector.,Editor of The Daily News,Rajkot Collector
Suo-Motu cognizance with regard to Block Development Officer allegedly harassing Mr. Rahul Tiwari during coverage of an event.,Mr. Rahul Tiwari,Block Development Officer
Suo-Motu cognizance with regard to an incident involving Media House Owner and Editor of The Daily News.,Editor of The Daily News,Media House Owner
Complaint filed by Shri Rajesh Jain against Ranchi SP for abuse of power.,Shri Rajesh Jain,Ranchi SP
Complaint submitted by Media Council of India alleging harassment by State Education Minister.,Media Council of India,State Education Minister
Suo-Motu cognizance regarding misconduct by Block Development Officer involving National Human Rights Commission.,National Human Rights Commission,Block Development Officer
Suo-Motu cognizance of unlawful detention of Press Club of India by Inspector General.,Press Club of India,Inspector General
Complaint filed by Shri Rajesh Jain against Government Official for abuse of power.,Shri Rajesh Jain,Government Official
Ms. Priya Sharma raised concerns regarding behaviour of Local MLA.,Ms. Priya Sharma,Local MLA
Shri Rajesh Jain lodged a complaint against Rajkot Collector with the authorities.,Shri Rajesh Jain,Rajkot Collector
Press Club of India filed a report against Inspector General citing threats and intimidation.,Press Club of India,Inspector General
